Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Wear_Speed_Ratio,Temp_Diff,Power_Index,Temperature_Stress
1,299.1,309.5,1512,39.0,75,0,0.0496031746031746,10.399999999999977,58968.0,12070.5
0,299.1,309.4,1811,24.6,77,0,0.04251794588625069,10.299999999999955,44550.600000000006,7611.24
1,299.1,309.4,1439,44.2,82,0,0.05698401667824878,10.299999999999955,63603.8,13675.48
1,299.0,309.4,1693,30.1,84,0,0.049616066154754876,10.399999999999977,50959.3,9312.94
2,299.1,309.5,1339,48.2,86,0,0.0642270351008215,10.399999999999977,64539.8,14917.900000000001
1,299.0,309.4,1798,25.5,89,0,0.04949944382647386,10.399999999999977,45849.0,7889.7
1,299.0,309.4,1419,48.3,91,0,0.06412966878083157,10.399999999999977,68537.7,14944.019999999999
1,298.9,309.3,1665,32.5,93,0,0.055855855855855854,10.400000000000034,54112.5,10052.25
2,298.8,309.1,1559,34.7,95,0,0.06093649775497113,10.300000000000011,54097.3,10725.770000000002
2,298.8,309.2,1452,48.6,98,0,0.0674931129476584,10.399999999999977,70567.2,15027.119999999999
2,298.9,309.2,1581,36.7,101,0,0.06388361796331436,10.300000000000011,58022.700000000004,11347.640000000001
1,298.8,309.1,1439,39.2,104,0,0.07227241139680333,10.300000000000011,56408.8,12116.720000000001
0,298.9,309.2,1379,50.7,106,0,0.07686729514140682,10.300000000000011,69915.3,15676.44
1,298.8,309.1,1350,52.5,111,0,0.08222222222222222,10.300000000000011,70875.0,16227.750000000002
1,298.8,309.1,1362,45.4,113,0,0.08296622613803231,10.300000000000011,61834.799999999996,14033.140000000001
1,298.8,309.1,1368,50.8,115,0,0.08406432748538012,10.300000000000011,69494.4,15702.28
2,298.8,309.1,1368,49.1,117,0,0.08552631578947369,10.300000000000011,67168.8,15176.810000000001
0,298.8,309.2,1372,48.5,120,0,0.08746355685131195,10.399999999999977,66542.0,14996.199999999999
2,298.8,309.1,1472,47.5,125,0,0.08491847826086957,10.300000000000011,69920.0,14682.250000000002
1,298.8,309.1,1489,49.1,128,0,0.08596373404969779,10.300000000000011,73109.90000000001,15176.810000000001
2,298.7,309.0,1843,25.8,130,0,0.0705371676614216,10.300000000000011,47549.4,7972.2
1,298.8,309.1,1418,46.3,133,0,0.09379407616361073,10.300000000000011,65653.4,14311.33
0,298.8,309.2,1425,53.9,135,0,0.09473684210526316,10.399999999999977,76807.5,16665.879999999997
2,298.9,309.2,1412,44.1,140,0,0.09915014164305949,10.300000000000011,62269.200000000004,13635.72
1,298.9,309.1,2861,4.6,143,1,0.049982523593149246,10.200000000000045,13160.599999999999,1421.86
1,298.9,309.1,1383,54.9,145,0,0.10484454085321765,10.200000000000045,75926.7,16969.59
0,298.8,309.0,1497,43.8,147,0,0.09819639278557114,10.199999999999989,65568.59999999999,13534.199999999999
1,298.7,309.0,1565,35.1,152,0,0.09712460063897764,10.300000000000011,54931.5,10845.9
1,298.7,309.0,1691,30.1,154,0,0.09107037256061502,10.300000000000011,50899.100000000006,9300.9
1,298.8,309.1,1512,40.7,156,0,0.10317460317460317,10.300000000000011,61538.4,12580.370000000003
1,298.8,309.1,1477,42.4,158,0,0.1069735951252539,10.300000000000011,62624.799999999996,13105.84
1,298.8,309.1,1513,40.3,160,0,0.10575016523463318,10.300000000000011,60973.899999999994,12456.73
2,298.8,309.0,1661,29.5,162,0,0.0975316074653823,10.199999999999989,48999.5,9115.5
1,298.8,309.1,1378,54.4,165,0,0.11973875181422351,10.300000000000011,74963.2,16815.04
1,298.8,309.1,1393,52.6,167,0,0.1198851399856425,10.300000000000011,73271.8,16258.660000000002
2,298.8,309.0,1592,38.2,169,0,0.10615577889447236,10.199999999999989,60814.4,11803.800000000001
1,298.8,309.0,1829,22.9,172,0,0.09404045926735921,10.199999999999989,41884.1,7076.099999999999
2,298.9,309.0,1812,25.9,174,0,0.09602649006622517,10.100000000000023,46930.799999999996,8003.099999999999
1,299.0,309.1,1523,38.6,177,0,0.11621799080761655,10.100000000000023,58787.8,11931.260000000002
1,299.0,309.1,1394,45.1,179,0,0.1284074605451937,10.100000000000023,62869.4,13940.410000000002
2,298.9,308.9,1679,28.7,181,0,0.10780226325193568,10.0,48187.299999999996,8865.429999999998
0,298.8,308.9,1466,44.1,184,0,0.12551159618008187,10.099999999999966,64650.6,13622.49
1,298.8,308.9,1527,32.4,189,0,0.1237721021611002,10.099999999999966,49474.799999999996,10008.359999999999
1,298.9,309.0,1410,65.7,191,1,0.13546099290780142,10.100000000000023,92637.0,20301.3
2,298.9,309.0,1924,22.6,193,0,0.10031185031185032,10.100000000000023,43482.4,6983.400000000001
1,298.9,309.1,1452,45.5,196,0,0.1349862258953168,10.200000000000045,66066.0,14064.050000000001
1,298.9,309.1,1369,44.4,198,0,0.1446311176040906,10.200000000000045,60783.6,13724.04
1,299.0,309.1,1592,35.0,200,0,0.12562814070351758,10.100000000000023,55720.0,10818.5
1,298.9,309.0,1601,32.3,202,0,0.12617114303560276,10.100000000000023,51712.299999999996,9980.699999999999
1,298.8,308.9,1379,46.7,204,0,0.14793328498912256,10.099999999999966,64399.3,14425.63
1,298.8,308.9,1461,47.9,206,0,0.14099931553730322,10.099999999999966,69981.9,14796.309999999998
1,298.8,308.9,1455,41.3,208,1,0.1429553264604811,10.099999999999966,60091.49999999999,12757.569999999998
1,298.8,308.9,1398,51.5,0,0,0.0,10.099999999999966,71997.0,15908.349999999999
1,298.8,308.9,1402,37.9,2,0,0.0014265335235378032,10.099999999999966,53135.799999999996,11707.31
0,298.8,308.8,1445,49.9,4,0,0.002768166089965398,10.0,72105.5,15409.12
1,298.9,308.9,1450,47.5,9,0,0.006206896551724138,10.0,68875.0,14672.749999999998
1,298.9,308.9,1453,40.8,11,0,0.007570543702684102,10.0,59282.399999999994,12603.119999999999
1,299.0,309.0,1469,40.1,13,0,0.008849557522123894,10.0,58906.9,12390.9
1,298.9,308.9,1422,47.6,15,0,0.010548523206751054,10.0,67687.2,14703.64
2,299.0,309.0,1804,26.8,17,0,0.009423503325942351,10.0,48347.200000000004,8281.2
0,299.0,309.0,1436,43.9,20,0,0.013927576601671309,10.0,63040.4,13565.1
1,299.0,309.0,1544,31.8,25,0,0.016191709844559584,10.0,49099.200000000004,9826.2
2,299.0,309.0,1419,45.2,27,0,0.019027484143763214,10.0,64138.8,13966.800000000001
2,298.9,308.9,1487,39.5,30,0,0.020174848688634835,10.0,58736.5,12201.55
1,298.9,308.9,1753,25.8,33,0,0.018824871648602397,10.0,45227.4,7969.62
1,298.9,308.9,1830,24.9,35,0,0.01912568306010929,10.0,45567.0,7691.609999999999
2,298.9,308.9,1727,27.1,37,0,0.021424435437174292,10.0,46801.700000000004,8371.19
1,299.1,309.0,1450,43.0,40,0,0.027586206896551724,9.899999999999977,62350.0,13287.0
1,299.0,308.9,1622,31.9,42,0,0.025893958076448828,9.899999999999977,51741.799999999996,9853.909999999998
2,299.0,309.0,1351,52.2,44,0,0.03256846780162842,10.0,70522.2,16129.800000000001
2,299.0,309.0,1575,35.3,47,0,0.029841269841269842,10.0,55597.49999999999,10907.699999999999
2,298.9,308.9,1750,29.9,50,0,0.02857142857142857,10.0,52325.0,9236.109999999999
1,298.9,308.8,1529,32.7,53,0,0.03466317854807063,9.900000000000034,49998.3,10097.760000000002
1,298.8,308.8,1523,44.4,55,0,0.03611293499671701,10.0,67621.2,13710.72
1,298.8,308.9,1852,25.0,57,0,0.030777537796976243,10.099999999999966,46300.0,7722.499999999999
1,298.8,308.8,1991,20.7,59,0,0.029633350075339026,10.0,41213.7,6392.16
1,298.8,308.8,1555,40.6,61,0,0.03922829581993569,10.0,63133.0,12537.28
2,298.8,308.8,1441,40.5,63,0,0.04371963913948647,10.0,58360.5,12506.4
1,298.8,308.7,1450,43.4,66,0,0.04551724137931035,9.899999999999977,62930.0,13397.58
1,298.8,308.7,1591,31.1,68,0,0.04274041483343809,9.899999999999977,49480.100000000006,9600.57
1,298.8,308.7,1445,48.5,70,0,0.04844290657439446,9.899999999999977,70082.5,14971.949999999999
2,298.8,308.8,1497,46.8,72,0,0.04809619238476954,10.0,70059.59999999999,14451.84
0,298.9,308.8,1621,32.7,75,0,0.04626773596545342,9.900000000000034,53006.700000000004,10097.760000000002
1,298.9,308.7,1572,34.1,80,0,0.05089058524173028,9.800000000000011,53605.200000000004,10526.67
1,298.8,308.6,1872,22.5,82,0,0.0438034188034188,9.800000000000011,42120.0,6943.500000000001
0,298.7,308.6,1499,43.5,84,0,0.056037358238825885,9.900000000000034,65206.5,13424.1
2,298.8,308.7,1498,39.5,89,0,0.05941255006675567,9.899999999999977,59171.0,12193.65
2,298.8,308.6,1486,41.9,92,0,0.06191117092866756,9.800000000000011,62263.4,12930.34
1,298.8,308.6,1680,29.4,95,0,0.05654761904761905,9.800000000000011,49392.0,9072.84
1,298.8,308.6,1431,45.7,97,0,0.06778476589797344,9.800000000000011,65396.700000000004,14103.020000000002
1,298.9,308.7,1564,34.1,99,0,0.0632992327365729,9.800000000000011,53332.4,10526.67
1,298.8,308.6,1599,33.0,101,0,0.06316447779862414,9.800000000000011,52767.0,10183.800000000001
2,298.8,308.6,1707,28.1,103,0,0.06033977738722906,9.800000000000011,47966.700000000004,8671.660000000002
1,298.7,308.5,1467,40.7,106,0,0.07225630538513975,9.800000000000011,59706.9,12555.95
1,298.9,308.7,1433,44.7,108,0,0.07536636427076064,9.800000000000011,64055.100000000006,13798.890000000001
1,298.9,308.7,1558,41.2,110,0,0.07060333761232349,9.800000000000011,64189.600000000006,12718.44
1,299.0,308.8,1310,50.7,112,0,0.08549618320610687,9.800000000000011,66417.0,15656.160000000002
1,298.9,308.7,1546,43.4,114,0,0.07373868046571798,9.800000000000011,67096.4,13397.58
1,298.9,308.7,1727,29.4,116,0,0.0671685002895194,9.800000000000011,50773.799999999996,9075.779999999999
1,298.9,308.6,1560,32.2,118,0,0.07564102564102564,9.700000000000045,50232.00000000001,9936.920000000002
1,299.0,308.6,1329,60.5,120,0,0.09029345372460497,9.600000000000023,80404.5,18670.300000000003
1,298.9,308.6,1413,46.5,122,0,0.08634111818825195,9.700000000000045,65704.5,14349.900000000001
1,299.0,308.6,1587,38.6,124,0,0.07813484562066793,9.600000000000023,61258.200000000004,11911.960000000001
1,298.9,308.5,1559,34.3,126,0,0.08082103912764593,9.600000000000023,53473.7,10581.55
1,298.8,308.4,1473,41.1,128,0,0.08689748811948404,9.599999999999966,60540.3,12675.24
1,298.8,308.4,1737,27.7,130,0,0.07484168105929764,9.599999999999966,48114.9,8542.679999999998
2,298.7,308.4,1441,43.2,132,0,0.0916030534351145,9.699999999999989,62251.200000000004,13322.88
2,298.7,308.4,1430,49.6,135,0,0.0944055944055944,9.699999999999989,70928.0,15296.64
1,298.8,308.4,1369,53.0,138,0,0.10080350620891161,9.599999999999966,72557.0,16345.199999999999
2,298.8,308.5,1711,28.5,140,0,0.08182349503214495,9.699999999999989,48763.5,8792.25
0,298.7,308.5,1420,45.7,143,0,0.10070422535211268,9.800000000000011,64894.00000000001,14098.45
1,298.7,308.6,1297,55.3,148,0,0.1141094834232845,9.900000000000034,71724.09999999999,17065.58
0,298.8,308.6,1449,49.4,150,0,0.10351966873706005,9.800000000000011,71580.59999999999,15244.84
1,298.8,308.6,1268,55.8,155,0,0.1222397476340694,9.800000000000011,70754.4,17219.88
1,298.8,308.6,1511,36.1,157,0,0.10390469887491727,9.800000000000011,54547.1,11140.460000000001
1,298.7,308.5,1544,35.2,159,0,0.10297927461139897,9.800000000000011,54348.8,10859.2
2,298.6,308.4,1778,28.2,161,0,0.09055118110236221,9.799999999999955,50139.6,8696.88
0,298.6,308.4,1407,50.5,164,0,0.11656005685856433,9.799999999999955,71053.5,15574.199999999999
2,298.6,308.4,1391,42.4,169,0,0.12149532710280374,9.799999999999955,58978.4,13076.159999999998
1,298.5,308.4,1513,33.6,172,0,0.11368142762723067,9.899999999999977,50836.8,10362.24
0,298.5,308.4,1612,36.1,174,0,0.10794044665012408,9.899999999999977,58193.200000000004,11133.24
1,298.4,308.4,1515,40.1,179,0,0.11815181518151815,10.0,60751.5,12366.84
2,298.3,308.3,1379,48.0,181,0,0.1312545322697607,10.0,66192.0,14798.400000000001
1,298.4,308.3,1473,39.9,184,0,0.12491513917175831,9.900000000000034,58772.7,12301.17
1,298.4,308.3,1422,42.7,186,0,0.1308016877637131,9.900000000000034,60719.4,13164.410000000002
2,298.4,308.2,1463,37.6,188,0,0.12850307587149692,9.800000000000011,55008.8,11588.32
2,298.4,308.2,1584,41.0,191,0,0.12058080808080808,9.800000000000011,64944.0,12636.199999999999
1,298.4,308.2,1850,27.0,194,0,0.10486486486486486,9.800000000000011,49950.0,8321.4
1,298.4,308.2,1528,36.2,196,0,0.12827225130890052,9.800000000000011,55313.600000000006,11156.84
0,298.4,308.2,1987,19.8,198,0,0.0996477101157524,9.800000000000011,39342.6,6102.36
2,298.4,308.1,1495,46.0,203,0,0.13578595317725753,9.700000000000045,68770.0,14172.6
0,298.4,308.2,1478,43.5,206,0,0.13937753721244925,9.800000000000011,64293.0,13406.699999999999
2,298.4,308.2,1499,40.0,211,0,0.14076050700466977,9.800000000000011,59960.0,12328.0
1,298.4,308.2,1471,47.0,214,0,0.14547926580557444,9.800000000000011,69137.0,14485.4
1,298.4,308.2,1282,60.7,216,1,0.1684867394695788,9.800000000000011,77817.40000000001,18707.74
1,298.3,308.1,1412,52.3,218,1,0.15439093484419264,9.800000000000011,73847.59999999999,16113.630000000001
1,298.3,308.1,1586,35.5,0,0,0.0,9.800000000000011,56303.0,10937.550000000001
2,298.4,308.2,1468,43.8,2,0,0.0013623978201634877,9.800000000000011,64298.399999999994,13499.159999999998
2,298.5,308.3,1440,43.6,5,0,0.003472222222222222,9.800000000000011,62784.0,13441.880000000001
1,298.5,308.4,1733,26.0,8,0,0.004616272360069244,9.899999999999977,45058.0,8018.4
0,298.4,308.2,1612,32.6,10,0,0.00620347394540943,9.800000000000011,52551.200000000004,10047.32
0,298.4,308.3,1458,42.9,15,0,0.0102880658436214,9.900000000000034,62548.2,13226.07
1,298.4,308.3,1433,62.3,20,1,0.013956734124214934,9.900000000000034,89275.9,19207.09
1,298.4,308.3,1318,59.1,22,0,0.01669195751138088,9.900000000000034,77893.8,18220.530000000002
2,298.4,308.2,1610,35.0,24,0,0.014906832298136646,9.800000000000011,56350.0,10787.0
1,298.2,308.1,1462,50.8,27,0,0.018467852257181942,9.900000000000034,74269.59999999999,15651.48
2,298.1,308.0,1924,20.8,29,0,0.015072765072765074,9.899999999999977,40019.200000000004,6406.400000000001
2,298.2,308.0,1591,33.7,32,0,0.02011313639220616,9.800000000000011,53616.700000000004,10379.6
1,298.2,308.1,1306,58.3,35,0,0.02679938744257274,9.900000000000034,76139.8,17962.23
1,298.2,308.1,1382,43.5,37,0,0.026772793053545588,9.900000000000034,60117.0,13402.35
1,298.2,308.1,1618,34.7,39,0,0.024103831891223733,9.900000000000034,56144.600000000006,10691.070000000002
1,298.2,308.2,1988,21.4,41,0,0.02062374245472837,10.0,42543.2,6595.48
1,298.2,308.2,1436,50.2,43,0,0.029944289693593314,10.0,72087.2,15471.64
1,298.2,308.3,1304,49.8,45,0,0.03450920245398773,10.100000000000023,64939.2,15353.34
1,298.2,308.3,1475,49.9,47,0,0.031864406779661014,10.100000000000023,73602.5,15384.17
0,298.2,308.3,1824,24.2,49,0,0.0268640350877193,10.100000000000023,44140.799999999996,7460.86
2,298.1,308.2,1342,48.1,54,0,0.040238450074515646,10.099999999999966,64550.200000000004,14824.42
1,298.1,308.2,1485,40.7,57,0,0.03838383838383838,10.099999999999966,60439.50000000001,12543.74
1,298.2,308.2,1667,30.6,59,0,0.03539292141571686,10.0,51010.200000000004,9430.92
1,298.2,308.2,1446,38.2,61,0,0.042185338865836794,10.0,55237.200000000004,11773.24
1,298.1,308.3,1301,56.0,63,0,0.04842428900845504,10.199999999999989,72856.0,17264.8
1,298.2,308.4,1379,43.1,65,0,0.04713560551124003,10.199999999999989,59434.9,13292.039999999999
1,298.3,308.5,1606,33.6,67,0,0.041718555417185554,10.199999999999989,53961.600000000006,10365.6
2,298.3,308.4,1539,43.4,69,0,0.04483430799220273,10.099999999999966,66792.59999999999,13384.559999999998
1,298.2,308.4,1477,49.9,72,0,0.04874746106973595,10.199999999999989,73702.3,15389.159999999998
1,298.2,308.4,1666,34.6,74,0,0.04441776710684274,10.199999999999989,57643.600000000006,10670.64
0,298.2,308.4,1398,51.8,76,0,0.05436337625178827,10.199999999999989,72416.4,15975.119999999997
0,298.2,308.4,1678,34.6,81,0,0.048271752085816445,10.199999999999989,58058.8,10670.64
2,298.2,308.5,2678,10.7,86,1,0.03211351755041075,10.300000000000011,28654.6,3300.95
1,298.3,308.5,1453,42.9,89,0,0.06125258086717137,10.199999999999989,62333.7,13234.65
0,298.3,308.6,1432,49.5,91,0,0.06354748603351955,10.300000000000011,70884.0,15275.7
2,298.4,308.6,1527,40.9,96,0,0.06286836935166994,10.200000000000045,62454.299999999996,12621.74
1,298.4,308.7,1588,35.0,99,0,0.06234256926952141,10.300000000000011,55580.0,10804.5
1,298.4,308.6,1433,47.1,101,0,0.07048150732728542,10.200000000000045,67494.3,14535.060000000001
1,298.4,308.6,1609,35.0,103,0,0.06401491609695463,10.200000000000045,56315.0,10801.0
1,298.3,308.5,1575,41.2,105,0,0.06666666666666667,10.199999999999989,64890.00000000001,12710.2
2,298.4,308.5,1636,35.7,107,0,0.06540342298288508,10.100000000000023,58405.200000000004,11013.45
1,298.4,308.5,1490,37.9,110,0,0.0738255033557047,10.100000000000023,56471.0,11692.15
1,298.4,308.5,1741,32.8,112,0,0.064330844342332,10.100000000000023,57104.799999999996,10118.8
2,298.5,308.6,1344,53.0,114,0,0.08482142857142858,10.100000000000023,71232.0,16355.800000000001
1,298.5,308.7,1609,35.3,117,0,0.07271597265382225,10.199999999999989,56797.7,10897.109999999999
2,298.4,308.7,1421,60.7,119,1,0.08374384236453201,10.300000000000011,86254.7,18738.09
1,298.4,308.6,1591,36.7,122,0,0.07668133249528598,10.200000000000045,58389.700000000004,11325.620000000003
1,298.4,308.6,1477,44.0,124,0,0.08395396073121192,10.200000000000045,64988.0,13578.400000000001
1,298.4,308.7,1523,36.1,126,0,0.08273145108338804,10.300000000000011,54980.3,11144.07
1,298.5,308.7,1575,33.9,128,0,0.08126984126984127,10.199999999999989,53392.5,10464.929999999998
0,298.4,308.7,1344,52.9,130,0,0.09672619047619048,10.300000000000011,71097.59999999999,16330.23
1,298.4,308.7,1386,44.9,135,0,0.09740259740259741,10.300000000000011,62231.4,13860.63
2,298.3,308.6,1589,37.1,137,0,0.08621774701069855,10.300000000000011,58951.9,11449.060000000001
1,298.3,308.6,1548,40.3,140,0,0.09043927648578812,10.300000000000011,62384.399999999994,12436.58
1,298.3,308.6,1499,38.3,142,0,0.09472981987991995,10.300000000000011,57411.7,11819.38
1,298.3,308.5,1664,31.6,144,0,0.08653846153846154,10.199999999999989,52582.4,9748.6
1,298.3,308.6,1447,38.1,146,0,0.10089841050449205,10.300000000000011,55130.700000000004,11757.660000000002
2,298.3,308.5,1434,46.2,148,0,0.10320781032078104,10.199999999999989,66250.8,14252.7
1,298.3,308.5,1416,52.7,151,0,0.10663841807909605,10.199999999999989,74623.2,16257.95
0,298.4,308.5,1827,24.3,153,0,0.08374384236453201,10.100000000000023,44396.1,7496.55
1,298.4,308.6,1304,45.0,158,0,0.12116564417177914,10.200000000000045,58680.0,13887.000000000002
1,298.4,308.6,1569,34.4,160,0,0.10197578075207138,10.200000000000045,53973.6,10615.84
1,298.3,308.6,1584,29.3,162,0,0.10227272727272728,10.300000000000011,46411.200000000004,9041.980000000001
1,298.3,308.5,1362,53.8,164,0,0.12041116005873716,10.199999999999989,73275.59999999999,16597.3
1,298.3,308.4,1329,49.2,166,0,0.12490594431903687,10.099999999999966,65386.8,15173.28
1,298.3,308.5,1539,36.1,168,0,0.10916179337231968,10.199999999999989,55557.9,11136.85
2,298.3,308.5,1629,37.1,170,0,0.1043585021485574,10.199999999999989,60435.9,11445.35
1,298.3,308.5,1538,32.2,173,0,0.11248374512353707,10.199999999999989,49523.600000000006,9933.7
1,298.3,308.6,1570,34.8,175,0,0.11146496815286625,10.300000000000011,54635.99999999999,10739.28
1,298.3,308.4,1408,43.1,177,0,0.12571022727272727,10.099999999999966,60684.8,13292.039999999999
1,298.2,308.4,1424,47.6,179,0,0.12570224719101122,10.199999999999989,67782.40000000001,14679.84
1,298.2,308.4,1512,34.9,181,0,0.11970899470899471,10.199999999999989,52768.799999999996,10763.159999999998
1,298.2,308.4,1478,42.9,183,0,0.12381596752368065,10.199999999999989,63406.2,13230.359999999999
2,298.1,308.3,1680,33.7,185,0,0.11011904761904762,10.199999999999989,56616.00000000001,10389.710000000001
1,298.1,308.3,1495,38.7,188,0,0.12575250836120402,10.199999999999989,57856.50000000001,11931.210000000001
2,298.0,308.1,1552,36.6,190,0,0.12242268041237113,10.100000000000023,56803.200000000004,11276.460000000001
1,297.9,308.1,1393,50.3,193,0,0.13854989231873654,10.200000000000045,70067.9,15497.43
1,298.0,308.2,1611,30.6,195,0,0.12104283054003724,10.199999999999989,49296.600000000006,9430.92
2,298.0,308.1,1339,51.6,197,0,0.14712471994025392,10.100000000000023,69092.40000000001,15897.960000000001
1,298.0,308.1,1777,24.3,200,0,0.11254924029262803,10.100000000000023,43181.1,7486.830000000001
1,298.0,308.2,1348,58.8,202,1,0.14985163204747776,10.199999999999989,79262.4,18122.16
1,298.0,308.2,1442,44.1,204,0,0.14147018030513175,10.199999999999989,63592.200000000004,13591.62
2,298.0,308.2,1395,49.1,206,0,0.14767025089605734,10.199999999999989,68494.5,15132.619999999999
2,297.9,308.1,1627,31.4,209,0,0.12845728334357714,10.200000000000045,51087.799999999996,9674.34
1,297.9,308.1,1585,33.5,212,0,0.13375394321766562,10.200000000000045,53097.5,10321.35
1,298.0,308.2,1469,45.5,214,0,0.1456773315180395,10.199999999999989,66839.5,14023.1
1,298.0,308.3,1362,56.8,216,1,0.15859030837004406,10.300000000000011,77361.59999999999,17511.44
1,298.0,308.3,1405,56.2,218,1,0.15516014234875444,10.300000000000011,78961.0,17326.460000000003
1,298.0,308.3,1662,32.7,0,0,0.0,10.300000000000011,54347.4,10081.410000000002
2,298.0,308.2,1466,42.6,2,0,0.001364256480218281,10.199999999999989,62451.6,13129.32
1,298.0,308.2,1620,35.8,5,0,0.0030864197530864196,10.199999999999989,57995.99999999999,11033.56
1,298.0,308.2,1357,48.2,7,0,0.005158437730287398,10.199999999999989,65407.4,14855.24
1,298.0,308.2,1514,37.9,9,0,0.0059445178335535,10.199999999999989,57380.6,11680.779999999999
1,298.0,308.2,1489,40.4,11,0,0.007387508394895903,10.199999999999989,60155.6,12451.279999999999
1,298.1,308.3,1331,63.0,13,0,0.009767092411720512,10.199999999999989,83853.0,19422.9
1,298.0,308.0,1615,29.5,15,0,0.009287925696594427,10.0,47642.5,9086.0
1,298.1,308.2,1482,37.9,17,0,0.011470985155195682,10.099999999999966,56167.799999999996,11680.779999999999
2,298.1,308.2,1420,63.9,19,1,0.013380281690140845,10.099999999999966,90738.0,19693.98
2,298.2,308.3,1522,49.1,22,0,0.01445466491458607,10.100000000000023,74730.2,15137.53
1,298.1,308.2,1654,32.1,25,0,0.015114873035066506,10.099999999999966,53093.4,9893.22
2,298.1,308.2,1736,26.8,27,0,0.01555299539170507,10.099999999999966,46524.8,8259.76
2,298.0,308.1,1587,32.3,30,0,0.01890359168241966,10.100000000000023,51260.1,9951.63
1,298.1,308.2,1390,47.5,33,0,0.023741007194244605,10.099999999999966,66025.0,14639.5
1,298.0,308.1,1454,37.1,35,0,0.024071526822558458,10.100000000000023,53943.4,11430.510000000002
0,298.0,308.1,1440,43.7,37,0,0.025694444444444443,10.100000000000023,62928.00000000001,13463.970000000001
1,297.9,308.0,1954,21.1,42,0,0.021494370522006142,10.100000000000023,41229.4,6498.8
0,297.9,308.0,1800,24.8,44,0,0.024444444444444446,10.100000000000023,44640.0,7638.400000000001
1,298.0,308.0,1524,37.0,49,0,0.03215223097112861,10.0,56388.0,11396.0
0,298.0,308.0,1520,39.6,51,0,0.03355263157894737,10.0,60192.0,12196.800000000001
2,298.1,308.1,1452,40.8,56,0,0.03856749311294766,10.0,59241.6,12570.48
1,298.1,308.1,1484,40.4,59,0,0.03975741239892183,10.0,59953.6,12447.24
1,298.1,308.0,1426,46.0,61,0,0.042776998597475455,9.899999999999977,65596.0,14168.0
1,298.1,308.0,1652,28.5,63,0,0.038135593220338986,9.899999999999977,47082.0,8778.0
1,298.0,308.0,1401,54.7,65,0,0.046395431834404,10.0,76634.7,16847.600000000002
2,298.0,307.9,1750,26.6,67,0,0.038285714285714284,9.899999999999977,46550.0,8190.139999999999
0,298.0,308.0,1479,50.7,70,0,0.04732927653820149,10.0,74985.3,15615.6
2,298.0,308.0,1620,29.4,75,0,0.046296296296296294,10.0,47628.0,9055.199999999999
